Datum;Regen_(L/m2_mm);Quellwasser_imNetz_absolut;Quellwasser_imNetz_prozent;Grundwasser_imNetz_absolut;Grundwasser_imNetz_prozent;NiederschlagZweisimmen
01.01.2022;0;4949;73;1864;27;0
02.01.2022;0;4797;73;1757;27;0
03.01.2022;0;4919;77;1505;23;0
04.01.2022;6;4936;80;1256;20;4.8
05.01.2022;12;5294;84;1030;16;8.5
06.01.2022;0;5499;83;1166;17;0
07.01.2022;3;5212;77;1548;23;1.3
08.01.2022;4;5638;96;216;4;2
09.01.2022;14;4870;89;622;11;10.2
10.01.2022;6;5218;94;335;6;0.5
11.01.2022;0;5096;91;493;9;0
12.01.2022;0;5104;89;626;11;0
13.01.2022;0;5254;89;628;11;0
14.01.2022;0;4865;82;1049;18;0
15.01.2022;0;4867;83;970;17;0
16.01.2022;0;4748;84;894;16;0
17.01.2022;0;4608;82;979;18;0
18.01.2022;0;4984;91;513;9;0
19.01.2022;0;4217;76;1315;24;0
20.01.2022;1;4902;90;545;10;0.1
21.01.2022;0;4626;78;1311;22;0
22.01.2022;0;4639;78;1293;22;0
23.01.2022;0;4613;79;1207;21;0
24.01.2022;0;4555;80;1128;20;0
25.01.2022;0;4408;77;1296;23;0
26.01.2022;0;4691;81;1124;19;0
27.01.2022;0;4590;76;1416;24;0
28.01.2022;0;4454;73;1669;27;0
29.01.2022;0;4610;73;1677;27;0
30.01.2022;0;4407;73;1649;27;0
31.01.2022;4;4180;69;1907;31;6.3
01.02.2022;7;4557;75;1532;25;4
02.02.2022;12;4443;73;1645;27;11.7
03.02.2022;0;4424;70;1869;30;0
04.02.2022;0;4162;62;2587;38;0
05.02.2022;1;4092;63;2434;37;0.7
06.02.2022;7;4273;68;2025;32;8.3
07.02.2022;13;4036;65;2207;35;9.2
08.02.2022;0;3700;59;2599;41;0
09.02.2022;0;4030;64;2245;36;0
10.02.2022;0;4147;68;1915;32;0
11.02.2022;6;3749;63;2186;37;8.2
12.02.2022;0;3905;63;2315;37;0
13.02.2022;0;3945;65;2104;35;0
14.02.2022;1;4026;66;2112;34;0
15.02.2022;5;3994;66;2076;34;4.3
16.02.2022;18;3688;60;2418;40;12.7
17.02.2022;9;3618;58;2570;42;4.5
18.02.2022;8;4749;75;1550;25;3.4
19.02.2022;4;4744;75;1606;25;3.4
20.02.2022;0;4805;80;1219;20;0
21.02.2022;15;4738;78;1319;22;11.8
22.02.2022;6;4653;78;1318;22;2.6
23.02.2022;0;4482;75;1457;25;0
24.02.2022;1;4553;76;1408;24;0
25.02.2022;2;4538;73;1704;27;0.4
26.02.2022;0;4536;73;1692;27;0
27.02.2022;0;4596;78;1334;22;0
28.02.2022;0;4268;72;1636;28;0
01.03.2022;0;4302;73;1596;27;0
02.03.2022;0;4443;75;1497;25;0
03.03.2022;0;4534;76;1401;24;0
04.03.2022;0;4217;70;1776;30;0
05.03.2022;0;4436;75;1493;25;0
06.03.2022;0;4006;72;1572;28;0
07.03.2022;0;4304;78;1190;22;0
08.03.2022;0;4058;73;1482;27;0
09.03.2022;0;3808;71;1542;29;0
10.03.2022;0;4253;77;1238;23;0
11.03.2022;0;3970;72;1527;28;0
12.03.2022;0;3971;74;1421;26;0
13.03.2022;0;4071;79;1050;21;0
14.03.2022;0;3913;76;1204;24;0
15.03.2022;5;3795;75;1260;25;2.7
16.03.2022;0;3982;78;1102;22;0
17.03.2022;0;4503;90;501;10;0
18.03.2022;0;4597;91;453;9;0
19.03.2022;0;4563;91;448;9;0
20.03.2022;0;4301;90;460;10;0
21.03.2022;0;4859;99;66;1;0
22.03.2022;0;4484;91;463;9;0
23.03.2022;0;4872;99;65;1;0
24.03.2022;0;4376;89;554;11;0
25.03.2022;0;5015;98;78;2;0
26.03.2022;0;4255;89;531;11;0
27.03.2022;0;4433;100;4;0;0
28.03.2022;0;4838;99;66;1;0
29.03.2022;0;4817;99;66;1;0
30.03.2022;1;4820;99;62;1;1.5
31.03.2022;11;4445;94;267;6;10.6
01.04.2022;5;4753;99;28;1;4.8
02.04.2022;0;4640;100;3;0;0.3
03.04.2022;0;4526;100;4;0;0
04.04.2022;0;4713;99;62;1;0
05.04.2022;0;4578;89;546;11;0
06.04.2022;1;4782;89;578;11;3.3
07.04.2022;13;4426;91;438;9;11.8
08.04.2022;23;4492;91;429;9;19.5
09.04.2022;9;4694;100;4;0;4.8
10.04.2022;0;4579;100;6;0;0
11.04.2022;0;4862;96;206;4;0
12.04.2022;0;4884;100;4;0;0
13.04.2022;0;4542;94;272;6;0
14.04.2022;15;4354;89;541;11;0
15.04.2022;0;4609;100;5;0;0
16.04.2022;0;4771;100;6;0;0
17.04.2022;0;4663;100;4;0;0
18.04.2022;0;4810;99;66;1;0
19.04.2022;0;5466;99;67;1;0
20.04.2022;0;4776;82;1043;18;1.8
21.04.2022;1;5087;88;692;12;0
22.04.2022;0;4859;96;206;4;0
23.04.2022;1;4729;100;4;0;0.2
24.04.2022;5;4546;100;3;0;4
25.04.2022;7;4911;99;65;1;3.8
26.04.2022;8;5006;99;66;1;3.3
27.04.2022;0;4897;99;69;1;0
28.04.2022;0;4578;93;346;7;0
29.04.2022;0;5086;100;3;0;0.1
30.04.2022;0;4736;100;3;0;0.4
01.05.2022;0;4613;100;3;0;0
02.05.2022;2;4639;90;491;10;2
03.05.2022;0;4566;92;401;8;0
04.05.2022;0;4917;99;68;1;0.6
05.05.2022;17;4874;99;63;1;14.2
06.05.2022;0;3864;79;1024;21;0.6
07.05.2022;0;3555;78;1025;22;0.5
08.05.2022;0;3307;73;1213;27;0
09.05.2022;1;3587;70;1551;30;0
10.05.2022;0;4502;88;635;12;0
11.05.2022;0;4326;82;938;18;0
12.05.2022;0;5420;90;596;10;0
13.05.2022;0;4864;87;745;13;0
14.05.2022;0;5033;95;281;5;0
15.05.2022;0;5053;100;2;0;24.1
16.05.2022;0;4896;92;436;8;0.3
17.05.2022;0;4294;75;1432;25;0
18.05.2022;0;5525;89;660;11;0
19.05.2022;7;4311;75;1471;25;0.3
20.05.2022;0;4936;86;826;14;0
21.05.2022;0;5027;92;424;8;0
22.05.2022;0;4963;95;269;5;0
23.05.2022;13;5186;94;344;6;15.8
24.05.2022;7;4311;86;718;14;8.1
25.05.2022;1;3682;71;1497;29;0.3
26.05.2022;0;4830;94;286;6;0
27.05.2022;0;4924;86;814;14;0
28.05.2022;0;4744;84;934;16;0
29.05.2022;0;4990;93;388;7;0
30.05.2022;0;4945;84;909;16;0
31.05.2022;9;4080;74;1435;26;6.4
01.06.2022;7;3383;67;1662;33;8
02.06.2022;3;4959;99;68;1;1.8
03.06.2022;2;4303;84;824;16;0.1
04.06.2022;0;4803;93;376;7;0.1
05.06.2022;8;4262;86;670;14;10.4
06.06.2022;0;4506;91;459;9;0.1
07.06.2022;12;5058;99;66;1;10.2
08.06.2022;1;4262;86;705;14;2.4
09.06.2022;8;4402;88;598;12;3.9
10.06.2022;0;4457;86;721;14;0
11.06.2022;0;4597;91;452;9;0
12.06.2022;1;4216;87;604;13;0.6
13.06.2022;0;4561;77;1389;23;0
14.06.2022;0;4586;73;1713;27;0
15.06.2022;0;4742;75;1566;25;0.8
16.06.2022;0;4942;73;1823;27;0.1
17.06.2022;0;4295;60;2822;40;0
18.06.2022;0;4969;76;1543;24;0
19.06.2022;0;4380;68;2070;32;0
20.06.2022;0;5188;65;2818;35;0
21.06.2022;0;4238;57;3226;43;0
22.06.2022;15;4578;78;1320;22;11.3
23.06.2022;25;4212;77;1253;23;14.1
24.06.2022;6;4230;82;957;18;1.6
25.06.2022;0;4286;86;698;14;4.9
26.06.2022;0;4150;84;792;16;0.1
27.06.2022;2;4352;79;1184;21;9.6
28.06.2022;7;4350;85;788;15;0
29.06.2022;0;4199;76;1354;24;0
30.06.2022;19;4383;75;1457;25;12.3
01.07.2022;10;3922;76;1258;24;17.3
02.07.2022;0;4516;85;797;15;0
03.07.2022;0;4599;87;698;13;0.6
04.07.2022;9;4681;84;879;16;13.1
05.07.2022;8;3972;69;1745;31;0.9
06.07.2022;0;4540;78;1276;22;0
07.07.2022;0;4589;80;1154;20;0
08.07.2022;0;4204;67;2082;33;0
09.07.2022;0;4639;77;1396;23;0
10.07.2022;0;4264;72;1698;28;0
11.07.2022;0;4257;62;2611;38;0
12.07.2022;0;4437;64;2481;36;0
13.07.2022;0;4380;61;2789;39;0
14.07.2022;0;4576;59;3148;41;0
15.07.2022;0;3835;49;3996;51;0
16.07.2022;0;4529;63;2624;37;0
17.07.2022;0;3993;57;2984;43;0
18.07.2022;0;4502;54;3867;46;0
19.07.2022;0;3796;46;4542;54;0
20.07.2022;34;4285;64;2439;36;20.9
21.07.2022;0;2048;33;4072;67;0
22.07.2022;0;4243;63;2521;37;0
23.07.2022;1;4198;65;2254;35;0.2
24.07.2022;0;4050;63;2389;37;0
25.07.2022;1;4173;57;3176;43;2.2
26.07.2022;4;3915;60;2563;40;0.1
27.07.2022;0;3926;58;2807;42;0
28.07.2022;0;3839;57;2861;43;0
29.07.2022;2;3533;54;2968;46;9.1
30.07.2022;0;3860;63;2239;37;0
31.07.2022;0;3698;59;2563;41;0
01.08.2022;0;3389;50;3409;50;0
02.08.2022;0;3746;49;3925;51;0
03.08.2022;0;3265;40;4875;60;0
04.08.2022;1;3293;41;4675;59;0.9
05.08.2022;19;2907;41;4199;59;12.4
06.08.2022;0;2979;49;3161;51;0
07.08.2022;0;3498;57;2593;43;0.1
08.08.2022;0;3254;47;3632;53;0
09.08.2022;0;2953;43;3977;57;0
10.08.2022;0;3088;42;4226;58;0
11.08.2022;0;2761;35;5142;65;0
12.08.2022;0;2583;34;5076;66;0
13.08.2022;0;3447;51;3275;49;0
14.08.2022;0;2937;49;3074;51;0.2
15.08.2022;0;2879;43;3816;57;0
16.08.2022;0;3261;49;3454;51;0
17.08.2022;24;2411;38;3910;62;34.6
18.08.2022;2;2844;49;2927;51;0.2
19.08.2022;18;3526;63;2101;37;24.3
20.08.2022;3;3653;67;1811;33;2.1
21.08.2022;0;3716;70;1608;30;0
22.08.2022;0;4275;75;1457;25;0
