Datum;Regen_(L/m2_mm);Quellwasser_imNetz_absolut;Quellwasser_imNetz_prozent;Grundwasser_imNetz_absolut;Grundwasser_imNetz_prozent;NiederschlagZweisimmen;;
01.01.2023;0;5513;85;936;15;0;;1305.2
02.01.2023;0;5494;86;913;14;1.8;;
03.01.2023;5;5284;85;907;15;4.5;;
04.01.2023;0;5340;89;690;11;0;;
05.01.2023;6;4934;83;1045;17;2.7;;
06.01.2023;0;5348;92;487;8;0;;
07.01.2023;0;4876;87;724;13;0;;
08.01.2023;12;4947;96;214;4;10.9;;
09.01.2023;17;5006;97;175;3;13.6;;
10.01.2023;7;4880;94;286;6;3.6;;
11.01.2023;5;4760;92;434;8;4.6;;
12.01.2023;0;5040;98;112;2;0;;
13.01.2023;2;4930;92;437;8;0.6;;
14.01.2023;0;5079;96;234;4;0;;
15.01.2023;14;4928;96;223;4;11.9;;
16.01.2023;6;5080;95;271;5;2.9;;
17.01.2023;11;4841;90;534;10;7.5;;
18.01.2023;8;4890;91;498;9;5.5;;
19.01.2023;0;5120;87;799;13;0;;
20.01.2023;0;5369;76;1713;24;0;;
21.01.2023;0;4856;66;2453;34;0;;
22.01.2023;0;4706;74;1618;26;0;;
23.01.2023;0;4950;87;763;13;0;;
24.01.2023;0;4796;87;740;13;0;;
25.01.2023;0;5006;91;523;9;0;;
26.01.2023;0;4758;87;707;13;0;;
27.01.2023;0;4698;83;953;17;0;;
28.01.2023;0;4670;79;1221;21;0;;
29.01.2023;0;4754;85;824;15;0;;
30.01.2023;0;4565;82;1028;18;0;;
31.01.2023;0;4903;87;717;13;0;;
01.02.2023;0;4673;85;819;15;0;;
02.02.2023;0;4487;80;1105;20;0;;
03.02.2023;0;4638;79;1240;21;0;;
04.02.2023;0;4742;79;1238;21;0;;
05.02.2023;2;4509;79;1215;21;3.5;;
06.02.2023;0;4510;77;1336;23;0;;
07.02.2023;0;4359;75;1463;25;0;;
08.02.2023;0;4384;75;1479;25;0;;
09.02.2023;0;4293;73;1597;27;0;;
10.02.2023;0;4168;69;1850;31;0;;
11.02.2023;0;4208;68;1982;32;0;;
12.02.2023;0;4051;67;1967;33;0;;
13.02.2023;0;4214;68;1952;32;0;;
14.02.2023;0;3818;62;2358;38;0;;
15.02.2023;0;4480;70;1941;30;0;;
16.02.2023;0;4171;66;2149;34;0;;
17.02.2023;0;4623;71;1913;29;0;;
18.02.2023;0;4353;67;2100;33;0;;
19.02.2023;0;4307;68;2026;32;0;;
20.02.2023;0;4516;71;1876;29;0;;
21.02.2023;0;4317;69;1965;31;0;;
22.02.2023;1;4391;70;1899;30;2.4;;
23.02.2023;0;4474;72;1775;28;0;;
24.02.2023;1;4235;66;2153;34;1.1;;
25.02.2023;1;4305;69;1911;31;0.7;;
26.02.2023;0;4206;72;1657;28;0;;
27.02.2023;0;4447;76;1409;24;0;;
28.02.2023;0;4187;72;1595;28;0;;
01.03.2023;0;4387;76;1388;24;0;;
02.03.2023;0;4003;70;1705;30;0;;
03.03.2023;0;4205;72;1608;28;0;;
04.03.2023;0;4203;73;1582;27;0;;
05.03.2023;0;3920;72;1530;28;0;;
06.03.2023;0;4245;77;1273;23;0;;
07.03.2023;2;3861;72;1531;28;0.1;;
08.03.2023;8;4134;76;1287;24;7.8;;
09.03.2023;3;3570;66;1814;34;0.6;;
10.03.2023;23;4206;78;1170;22;14.3;;
11.03.2023;20;3752;70;1594;30;17.9;;
