Datum;Regen_(L/m2_mm);Quellwasser_imNetz_absolut;Quellwasser_imNetz_prozent;Grundwasser_imNetz_absolut;Grundwasser_imNetz_prozent;NiederschlagZweisimmen
01.01.2021;11;4761;73;1753;27;0.7
02.01.2021;0;4672;72;1836;28;0
03.01.2021;0;4484;75;1534;25;0
04.01.2021;0;4656;77;1401;23;0
05.01.2021;0;4596;76;1432;24;0
06.01.2021;0;4627;78;1293;22;0
07.01.2021;0;4354;71;1760;29;0
08.01.2021;0;4531;69;2048;31;0
09.01.2021;0;4231;63;2488;37;0
10.01.2021;0;3679;62;2247;38;0
11.01.2021;0;3699;67;1807;33;0
12.01.2021;33;3688;65;2010;35;12.1
13.01.2021;21;3885;69;1707;31;9.4
14.01.2021;18;3801;70;1664;30;21
15.01.2021;7;3797;66;1920;34;4.9
16.01.2021;1;3751;63;2203;37;0.1
17.01.2021;9;3545;64;1994;36;7.1
18.01.2021;0;3666;65;1948;35;0
19.01.2021;0;3733;66;1911;34;0
20.01.2021;0;3625;64;2033;36;0
21.01.2021;4;3590;64;2002;36;0.1
22.01.2021;10;3529;62;2181;38;11.7
23.01.2021;7;3840;65;2091;35;3
24.01.2021;2;3539;62;2197;38;0.9
25.01.2021;23;3418;61;2209;39;7.5
26.01.2021;0;3314;58;2382;42;0
27.01.2021;27;3291;58;2340;42;17.8
28.01.2021;39;3317;60;2247;40;27.2
29.01.2021;38;3660;63;2104;37;26.2
30.01.2021;12;4101;70;1799;30;9.4
31.01.2021;1;4355;77;1311;23;0.7
01.02.2021;20;4180;73;1532;27;17.6
02.02.2021;3;4516;79;1195;21;1.2
03.02.2021;16;4518;81;1062;19;10.9
04.02.2021;0;4461;79;1164;21;0
05.02.2021;0;5166;88;711;12;0
06.02.2021;0;5044;84;986;16;0
07.02.2021;0;5333;92;471;8;8.2
08.02.2021;0;5372;91;546;9;0
09.02.2021;2;5352;91;556;9;0.3
10.02.2021;4;5336;91;515;9;1.3
11.02.2021;0;5140;91;528;9;0.1
12.02.2021;2;5128;82;1094;18;3.3
13.02.2021;0;5357;85;947;15;0
14.02.2021;0;5213;83;1070;17;0
15.02.2021;0;5085;79;1365;21;0
16.02.2021;0;5371;84;1052;16;0.6
17.02.2021;3;5010;80;1230;20;1.1
18.02.2021;0;5123;81;1191;19;0
19.02.2021;0;4938;72;1898;28;0
20.02.2021;0;5338;80;1366;20;0
21.02.2021;0;4885;80;1241;20;0
22.02.2021;0;5123;82;1113;18;0
23.02.2021;0;5171;84;974;16;0
24.02.2021;0;5016;82;1073;18;0
25.02.2021;0;5186;83;1035;17;0
26.02.2021;0;5666;88;782;12;0
27.02.2021;0;5202;82;1172;18;0
28.02.2021;0;5521;92;473;8;0
01.03.2021;0;4993;84;929;16;0
02.03.2021;0;5459;93;432;7;0
03.03.2021;0;5197;85;894;15;0
04.03.2021;1;5221;87;753;13;6.1
05.03.2021;5;4752;83;967;17;2.3
06.03.2021;0;5418;92;467;8;0
07.03.2021;1;4763;86;779;14;0.3
08.03.2021;1;4685;80;1180;20;0.4
09.03.2021;0;4805;84;917;16;0
10.03.2021;0;5075;95;270;5;0
11.03.2021;22;4399;85;753;15;15.8
12.03.2021;2;4570;85;830;15;0.2
13.03.2021;8;5021;93;404;7;5.9
14.03.2021;18;4322;83;906;17;12.9
15.03.2021;23;4934;94;331;6;12.5
16.03.2021;6;4628;90;540;10;2.2
17.03.2021;5;4787;93;341;7;4.3
18.03.2021;0;4903;95;269;5;0.1
19.03.2021;0;4615;87;718;13;0
20.03.2021;0;4569;85;795;15;0
21.03.2021;0;4543;88;617;12;0
22.03.2021;0;4553;87;670;13;0
23.03.2021;0;4300;87;650;13;0
24.03.2021;0;4848;93;341;7;0
25.03.2021;0;4676;92;394;8;0
26.03.2021;1;4274;88;605;12;0.5
27.03.2021;10;4367;93;345;7;9.5
28.03.2021;0;4123;93;295;7;0
29.03.2021;0;4483;91;426;9;0
30.03.2021;0;5020;99;64;1;0
31.03.2021;0;4608;92;389;8;0
01.04.2021;0;4841;99;67;1;0
02.04.2021;0;4538;93;325;7;0
03.04.2021;0;5024;99;27;1;0
04.04.2021;0;4776;100;2;0;0
05.04.2021;1;4619;99;62;1;1.4
06.04.2021;0;4281;91;448;9;0.5
07.04.2021;3;4169;93;305;7;1.4
08.04.2021;0;4663;97;139;3;0
09.04.2021;0;4687;100;4;0;0
10.04.2021;0;4452;100;4;0;0.6
11.04.2021;7;4050;100;4;0;6.4
12.04.2021;4;4642;98;110;2;5.8
13.04.2021;0;4025;85;714;15;0
14.04.2021;0;4570;99;62;1;0
15.04.2021;0;4629;99;67;1;0
16.04.2021;0;4589;100;3;0;0
17.04.2021;0;4387;100;3;0;0
18.04.2021;0;4240;100;4;0;0.1
19.04.2021;0;4441;95;248;5;0
20.04.2021;0;4611;99;64;1;0
21.04.2021;17;4610;99;63;1;0.6
22.04.2021;0;4541;99;66;1;0
23.04.2021;0;4396;94;273;6;0
24.04.2021;0;4425;100;2;0;0
25.04.2021;0;4274;100;3;0;0
26.04.2021;0;4535;98;108;2;0
27.04.2021;0;4563;99;64;1;0
28.04.2021;6;4506;99;63;1;7.6
29.04.2021;7;4559;99;65;1;5
30.04.2021;5;4672;100;2;0;5.4
01.05.2021;13;4488;100;2;0;13.1
02.05.2021;4;4373;100;3;0;6.7
03.05.2021;0;4474;94;292;6;0
04.05.2021;1;4651;99;62;1;0.8
05.05.2021;13;4316;93;324;7;10.4
06.05.2021;23;4611;99;66;1;24.6
07.05.2021;14;4915;100;22;0;20.1
08.05.2021;0;4858;100;2;0;0
09.05.2021;0;4735;100;3;0;0
10.05.2021;0;4822;92;447;8;0
11.05.2021;17;4505;91;454;9;17.7
12.05.2021;2;4915;99;64;1;2.8
13.05.2021;0;4608;99;69;1;0.2
14.05.2021;1;4787;94;286;6;3.3
15.05.2021;11;4880;100;5;0;11.9
16.05.2021;29;4634;100;4;0;27.1
17.05.2021;13;4143;83;845;17;10.7
18.05.2021;8;5016;94;327;6;7.9
19.05.2021;6;4346;88;578;12;5.4
20.05.2021;1;4374;87;674;13;0.3
21.05.2021;10;4455;91;460;9;15.2
